Category,Seed Words
Adventurous Outdoorsy,"['travel', 'hike', 'explore', 'camp', 'outdoor', 'adventure', 'climb', 'trek', 'wilderness', 'backpack']"
Creative/Artistic,"['art', 'paint', 'music', 'creative', 'write', 'theater', 'design', 'poetry', 'film', 'craft']"
Intellectual/Bookish,"['read', 'science', 'history', 'philosophy', 'book', 'museum', 'debate', 'learn', 'logic', 'intellect']"
Career-Driven,"['career', 'ambitious', 'professional', 'success', 'leader', 'entrepreneur', 'driven', 'goal', 'network', 'achieve']"
Family-Oriented,"['family', 'children', 'marriage', 'parent', 'home', 'tradition', 'kid', 'care', 'commitment', 'support']"
Party/Nightlife Lover,"['party', 'club', 'dance', 'music', 'drink', 'bar', 'social', 'festival', 'nightlife', 'energy']"
Homebody/Laid-Back,"['home', 'relax', 'chill', 'cozy', 'book', 'movie', 'quiet', 'comfort', 'peace', 'couch']"
Fitness Enthusiast,"['gym', 'run', 'yoga', 'health', 'train', 'athlete', 'active', 'sport', 'strength', 'fit']"
Geeky/Gamer,"['game', 'comic', 'anime', 'fantasy', 'sci-fi', 'nerd', 'geek', 'tech', 'cosplay', 'virtual']"
Foodie/Culinary,"['cook', 'restaurant', 'wine', 'food', 'bake', 'chef', 'flavor', 'gourmet', 'dine', 'recipe']"